INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,PRC,OPR_INTERVAL,GROUP
2022-02-02T07:15:00-00:00,2022-02-02T07:30:00-00:00,2022-02-01,24,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,54.33006,2,1
2022-02-01T08:30:00-00:00,2022-02-01T08:45:00-00:00,2022-02-01,01,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,34.23773,3,1
2022-02-01T09:30:00-00:00,2022-02-01T09:45:00-00:00,2022-02-01,02,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,34.58347,3,1
2022-02-01T10:30:00-00:00,2022-02-01T10:45:00-00:00,2022-02-01,03,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,35.13335,3,1
2022-02-01T11:30:00-00:00,2022-02-01T11:45:00-00:00,2022-02-01,04,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,37.59104,3,1
2022-02-01T12:30:00-00:00,2022-02-01T12:45:00-00:00,2022-02-01,05,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,39.26883,3,1
2022-02-01T13:30:00-00:00,2022-02-01T13:45:00-00:00,2022-02-01,06,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,49.68264,3,1
2022-02-01T14:30:00-00:00,2022-02-01T14:45:00-00:00,2022-02-01,07,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,70.32811,3,1
2022-02-01T15:30:00-00:00,2022-02-01T15:45:00-00:00,2022-02-01,08,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,47.05424,3,1
2022-02-01T16:30:00-00:00,2022-02-01T16:45:00-00:00,2022-02-01,09,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,36.10961,3,1
2022-02-01T17:30:00-00:00,2022-02-01T17:45:00-00:00,2022-02-01,10,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,33.17654,3,1
2022-02-01T18:30:00-00:00,2022-02-01T18:45:00-00:00,2022-02-01,11,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,36.50718,3,1
2022-02-01T19:30:00-00:00,2022-02-01T19:45:00-00:00,2022-02-01,12,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,35.54603,3,1
2022-02-01T20:30:00-00:00,2022-02-01T20:45:00-00:00,2022-02-01,13,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,30.57794,3,1
2022-02-01T21:30:00-00:00,2022-02-01T21:45:00-00:00,2022-02-01,14,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,24.76811,3,1
2022-02-01T22:30:00-00:00,2022-02-01T22:45:00-00:00,2022-02-01,15,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,40.49775,3,1
2022-02-01T23:30:00-00:00,2022-02-01T23:45:00-00:00,2022-02-01,16,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,47.73872,3,1
2022-02-02T00:30:00-00:00,2022-02-02T00:45:00-00:00,2022-02-01,17,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,61.66506,3,1
2022-02-02T01:30:00-00:00,2022-02-02T01:45:00-00:00,2022-02-01,18,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,97.49769,3,1
2022-02-02T02:30:00-00:00,2022-02-02T02:45:00-00:00,2022-02-01,19,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,71.94839,3,1
2022-02-02T03:30:00-00:00,2022-02-02T03:45:00-00:00,2022-02-01,20,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,69.15471,3,1
2022-02-02T04:30:00-00:00,2022-02-02T04:45:00-00:00,2022-02-01,21,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,83.11869,3,1
2022-02-02T05:30:00-00:00,2022-02-02T05:45:00-00:00,2022-02-01,22,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,68.23923,3,1
2022-02-02T06:30:00-00:00,2022-02-02T06:45:00-00:00,2022-02-01,23,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,52.60155,3,1
2022-02-02T07:30:00-00:00,2022-02-02T07:45:00-00:00,2022-02-01,24,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,47.02621,3,1
2022-02-01T08:45:00-00:00,2022-02-01T09:00:00-00:00,2022-02-01,01,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,33.97836,4,1
2022-02-01T09:45:00-00:00,2022-02-01T10:00:00-00:00,2022-02-01,02,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,33.46446,4,1
2022-02-01T10:45:00-00:00,2022-02-01T11:00:00-00:00,2022-02-01,03,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,34.67079,4,1
2022-02-01T11:45:00-00:00,2022-02-01T12:00:00-00:00,2022-02-01,04,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,37.88222,4,1
2022-02-01T12:45:00-00:00,2022-02-01T13:00:00-00:00,2022-02-01,05,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,39.69142,4,1
2022-02-01T13:45:00-00:00,2022-02-01T14:00:00-00:00,2022-02-01,06,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,54.58481,4,1
2022-02-01T14:45:00-00:00,2022-02-01T15:00:00-00:00,2022-02-01,07,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,64.62691,4,1
2022-02-01T15:45:00-00:00,2022-02-01T16:00:00-00:00,2022-02-01,08,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,38.76548,4,1
2022-02-01T16:45:00-00:00,2022-02-01T17:00:00-00:00,2022-02-01,09,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,34.28457,4,1
2022-02-01T17:45:00-00:00,2022-02-01T18:00:00-00:00,2022-02-01,10,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,30.46633,4,1
2022-02-01T18:45:00-00:00,2022-02-01T19:00:00-00:00,2022-02-01,11,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,36.25128,4,1
2022-02-01T19:45:00-00:00,2022-02-01T20:00:00-00:00,2022-02-01,12,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,27.75733,4,1
2022-02-01T20:45:00-00:00,2022-02-01T21:00:00-00:00,2022-02-01,13,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,27.36056,4,1
2022-02-01T21:45:00-00:00,2022-02-01T22:00:00-00:00,2022-02-01,14,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,24.44447,4,1
2022-02-01T22:45:00-00:00,2022-02-01T23:00:00-00:00,2022-02-01,15,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,42.44789,4,1
2022-02-01T23:45:00-00:00,2022-02-02T00:00:00-00:00,2022-02-01,16,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,54.71003,4,1
2022-02-02T00:45:00-00:00,2022-02-02T01:00:00-00:00,2022-02-01,17,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,86.06343,4,1
2022-02-02T01:45:00-00:00,2022-02-02T02:00:00-00:00,2022-02-01,18,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,109.0751,4,1
2022-02-02T02:45:00-00:00,2022-02-02T03:00:00-00:00,2022-02-01,19,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,67.59567,4,1
